question,answer,theme,keywords,Name of Document,Page no.
How many doses of TT injection should be given in the next pregnancy?,"In the next pregnancy, only one dose (booster) should be given if the pregnancy happens within the first three years of the previous one.",TT injection,"['doses', 'pregnancy', 'booster', 'previous']",Induction Training Module for ASHA English,"[66, 67]"
What should be done during the first antenatal check-up?,"During the first antenatal check-up, registration of pregnancy, first antenatal check-up, and making of maternal and child protection card should be done.",Antenatal check-up,"['first', 'registration', 'check-up', 'maternal', 'child', 'protection', 'card']",Induction Training Module for ASHA English,"[66, 67]"
Where can ANC be done?,ANC can be done at Vilage Health and Nutrition Day (VHND) or the nearest health institution such as the Sub centre.,ANC,"['Village Health and Nutrition Day', 'nearest', 'health institution', 'Sub centre']",Induction Training Module for ASHA English,"[66, 67]"
What is anaemia?,Anaemia is a condition characterized by a reduced level of haemoglobin in the blood.,Anaemia,"['condition', 'reduced level', 'haemoglobin', 'blood']",Induction Training Module for ASHA English,"[66, 67]"
How can the level of haemoglobin be tested?,The level of haemoglobin can be tested by a simple blood test.,Haemoglobin level testing,['simple blood test'],Induction Training Module for ASHA English,"[66, 67]"
What are the symptoms of anaemia?,"The symptoms of anaemia include looking pale, feeling tired, complaining of breathlessness on doing routine work, and having swelling on the face and body.",symptoms of anaemia,"['symptoms', 'anaemia', 'looking pale', 'feeling tired', 'complaining of breathlessness', 'swelling', 'face', 'body']",Induction Training Module for ASHA English,"[66, 67]"
How can anaemia be prevented?,"To prevent anaemia, all pregnant women need to take one iron tablet daily, starting after three months of pregnancy.",prevention of anaemia,"['prevention', 'anaemia', 'pregnant women', 'iron tablet', 'daily', 'starting', 'three months', 'pregnancy']",Induction Training Module for ASHA English,"[66, 67]"
How is mild or moderate anaemia treated?,"Mild or moderate anaemia is treated with iron tablets, which have to be taken daily for many months during pregnancy or by giving injections.",treatment of mild or moderate anaemia,"['treatment', 'mild', 'moderate', 'anaemia', 'iron tablets', 'daily', 'many months', 'pregnancy', 'giving injections']",Induction Training Module for ASHA English,"[66, 67]"
What should be done if the anaemia is severe?,"If the anaemia is severe, hospitalisation for blood transfusion will be required.",treatment of severe anaemia,"['treatment', 'severe', 'anaemia', 'hospitalisation', 'blood transfusion']",Induction Training Module for ASHA English,"[66, 67]"
What are the iron-rich foods that pregnant women should be encouraged to take?,"Pregnant women should be encouraged to take iron-rich foods such as green leafy vegetables, whole pulses, jaggery, ragi, meat, liver, as well as fruits rich in Vitamin C like mango, guava, orange, and sweet lime.",iron-rich foods for pregnant women,"['iron-rich foods', 'pregnant women', 'encouraged', 'green leafy vegetables', 'whole pulses', 'jaggery', 'ragi', 'meat', 'liver', 'fruits', 'Vitamin C', 'mango', 'guava', 'orange', 'sweet lime']",Induction Training Module for ASHA English,"[66, 67]"
How can the side effects of iron tablets be managed?,"The side effects of iron tablets can be managed in the following ways: Nausea, occasional vomiting, mild diarrhea - can be reduced by taking the tablet after meals. Constipation - can be reduced by drinking more water and eating fruits. Black colored stools - reassure the woman that it is not abnormal.",Side Effects of Iron Tablets,"['side effects', 'iron tablets', 'managed', 'nausea', 'vomiting', 'diarrhea', 'reduced', 'tablet', 'meals', 'constipation', 'water', 'fruits', 'black colored stools', 'abnormal']",Induction Training Module for ASHA English,"[66, 67]"
What should not be taken with iron tablets?,"Iron tablets should not be taken with tea, coffee, milk, or calcium tablet.",What Not to Take with Iron Tablets,"['iron tablets', 'tea', 'coffee', 'milk', 'calcium tablet']",Induction Training Module for ASHA English,"[66, 67]"
What are the danger signs during the antenatal period?,"The danger signs during the antenatal period include vaginal bleeding, swelling of face and hands, high blood pressure, headache, dizziness or blurred vision, convulsions or fits, baby stops moving or kicking inside the womb, severe anaemia, multiple pregnancies, previous history of neo-natal deaths, stillbirths, premature births or repeated abortions, mal-presentation, pain or burning when urinating, malaria, and other illnesses such as heart disease, jaundice, or fever.",Danger Signs During Antenatal Period,"['danger signs', 'antenatal period', 'vaginal bleeding', 'swelling', 'face', 'hands', 'high blood pressure', 'headache', 'dizziness', 'blurred vision', 'convulsions', 'fits', 'baby stops moving', 'kicking', 'womb', 'severe anaemia', 'multiple pregnancies', 'previous history', 'neo-natal deaths', 'stillbirths', 'premature births', 'repeated abortions', 'mal-presentation', 'pain', 'burning', 'urinating', 'malaria', 'illnesses', 'heart disease', 'jaundice', 'fever']",Induction Training Module for ASHA English,"[66, 67]"
What is the objective of Janani Suraksha Yojana (JSY)?,The objective of Janani Suraksha Yojana (JSY) is to reduce maternal and neo-natal mortality by promoting institutional delivery among poor pregnant women.,Janani Suraksha Yojana (JSY),"['objective', 'reduce', 'maternal', 'neo-natal mortality', 'promoting', 'institutional delivery', 'poor pregnant women']",Induction Training Module for ASHA English,"[70, 71]"
Who is eligible for the entitlement under JSY scheme?,"All women who deliver in public health facility, regardless of their age and parity, are eligible for the entitlement under JSY scheme.",JSY scheme eligibility,"['women', 'deliver', 'public health facility', 'age', 'parity', 'eligible', 'entitlement']",Induction Training Module for ASHA English,"[70, 71]"
What is the cash payment provided under JSY scheme?,JSY scheme provides for a cash payment for any poor woman who delivers in any public health institution or in any JSY accredited private institution.,Cash payment under JSY scheme,"['cash payment', 'poor woman', 'public health institution', 'JSY accredited private institution']",Induction Training Module for ASHA English,"[70, 71]"
What is the incentive for ASHA workers under JSY scheme?,ASHA workers are entitled to an incentive of Rs. 300 if they motivate women for completing all ante-natal check-ups and Rs. 300 for facilitating their delivery in a health institution.,Incentive for ASHA workers,"['ASHA workers', 'incentive', 'motivate', 'ante-natal check-ups', 'facilitating', 'delivery', 'health institution']",Induction Training Module for ASHA English,"[70, 71]"
Is escort mandatory for ASHA workers under JSY scheme?,"No, escort is voluntary and not mandatory for ASHA workers under JSY scheme.",Escort for ASHA workers under JSY scheme,"['escort', 'voluntary', 'not mandatory', 'ASHA workers', 'JSY scheme']",Induction Training Module for ASHA English,"[70, 71]"
What is the incentive for ASHA workers in urban areas under JSY scheme?,"In urban areas, ASHA workers will get Rs. 200 incentive for motivating women for completing all ante-natal check-ups and Rs. 200 for facilitating their delivery in a health institution.",ASHA workers,"['incentive', 'urban areas', 'JSY scheme']",Induction Training Module for ASHA English,"[70, 71]"
Who is entitled for cash payment in case of home deliveries?,"In case of home deliveries, only the BPL women are entitled for the cash payment.",home deliveries,"['cash payment', 'BPL women']",Induction Training Module for ASHA English,"[70, 71]"
What is JSSK and what does it entitle?,JSSK stands for Janani Sishu Suraksha Karyakaram. It entitles all pregnant women who deliver in public health institution and all sick newborns to completely cashless services.,JSSK,"['Janani Sishu Suraksha Karyakaram', 'pregnant women', 'public health institution', 'sick newborns', 'cashless services']",Induction Training Module for ASHA English,"[70, 71]"
Why was JSSK scheme launched?,JSSK scheme was launched to eliminate the high out of pocket expenditures made by poor families for accessing health care services at public health institutions.,JSSK scheme,"['out of pocket expenditures', 'poor families', 'health care services', 'public health institutions']",Induction Training Module for ASHA English,"[70, 71]"
